iter	Passed	Remaining
889	1159	143
890	1160	141
891	1161	140
892	1162	139
893	1163	137
894	1164	136
895	1165	135
896	1167	134
897	1168	132
898	1169	131
899	1171	130
900	1172	128
901	1173	127
902	1174	126
903	1176	124
904	1177	123
905	1178	122
906	1179	120
907	1182	119
908	1183	118
909	1184	117
910	1185	115
911	1186	114
912	1187	113
913	1189	111
914	1189	110
915	1190	109
916	1192	107
917	1193	106
918	1194	105
919	1196	104
920	1197	102
921	1198	101
922	1199	100
923	1201	98
924	1202	97
925	1203	96
926	1204	94
927	1205	93
928	1206	92
929	1207	90
930	1208	89
931	1209	88
932	1211	87
933	1212	85
934	1213	84
935	1214	83
936	1215	81
937	1216	80
938	1217	79
939	1218	77
940	1220	76
941	1220	75
942	1221	73
943	1223	72
944	1224	71
945	1226	70
946	1227	68
947	1228	67
948	1229	66
949	1231	64
950	1232	63
951	1233	62
952	1234	60
953	1235	59
954	1236	58
955	1237	56
956	1237	55
957	1239	54
958	1241	53
959	1242	51
960	1243	50
961	1244	49
962	1245	47
963	1246	46
964	1247	45
965	1248	43
966	1249	42
967	1250	41
968	1251	40
969	1252	38
970	1253	37
971	1254	36
972	1256	34
973	1257	33
974	1258	32
975	1259	30
976	1260	29
977	1261	28
978	1262	27
979	1263	25
980	1264	24
981	1265	23
982	1266	21
983	1268	20
984	1269	19
985	1271	18
986	1272	16
987	1273	15
988	1274	14
989	1275	12
990	1276	11
991	1277	10
992	1278	9
993	1279	7
994	1280	6
995	1281	5
996	1282	3
997	1283	2
998	1285	1
999	1286	0
